epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3756.9,0.7006,0.49458,1.08252,0.97599,0.97617,0.98842,0.77662,0.89097,0.37144,1.24491,0.000115149,0.000115149,0.000115149
67,3814.61,0.70208,0.51866,1.10637,0.97295,0.95761,0.97749,0.75691,0.8957,0.37306,1.24609,0.000111952,0.000111952,0.000111952
68,3868.93,0.68195,0.48049,1.07077,0.94605,0.95205,0.97746,0.77735,0.87905,0.39967,1.23383,0.000108754,0.000108754,0.000108754
69,3923.16,0.66615,0.45858,1.06373,0.95516,0.96328,0.98358,0.75956,0.90881,0.40297,1.26012,0.000105556,0.000105556,0.000105556
70,3979.61,0.67666,0.46722,1.06725,0.95507,0.9529,0.96186,0.75167,0.89859,0.40842,1.25747,0.000102359,0.000102359,0.000102359
71,4034.94,0.63752,0.45729,1.04962,0.95678,0.96222,0.97892,0.76074,0.88674,0.38848,1.26022,9.9161e-05,9.9161e-05,9.9161e-05
72,4090.74,0.64773,0.45578,1.06795,0.967,0.95752,0.98495,0.7626,0.90212,0.37155,1.26534,9.59633e-05,9.59633e-05,9.59633e-05
73,4146.71,0.63063,0.41478,1.03684,0.95787,0.96144,0.97917,0.7643,0.90085,0.38514,1.26319,9.27656e-05,9.27656e-05,9.27656e-05
74,4202.08,0.64217,0.44321,1.051,0.96863,0.95227,0.98141,0.76327,0.89404,0.36952,1.2686,8.95679e-05,8.95679e-05,8.95679e-05
75,4257.71,0.63443,0.42646,1.04595,0.96355,0.96893,0.97734,0.76447,0.88108,0.36343,1.26094,8.63702e-05,8.63702e-05,8.63702e-05
76,4311.97,0.64969,0.45163,1.05719,0.95629,0.97071,0.98789,0.78037,0.87231,0.35614,1.24415,8.31725e-05,8.31725e-05,8.31725e-05
77,4367.66,0.64228,0.46126,1.05936,0.96048,0.96265,0.97974,0.77049,0.8916,0.36944,1.24701,7.99748e-05,7.99748e-05,7.99748e-05
78,4422.64,0.61613,0.43144,1.04184,0.95328,0.9604,0.97695,0.77022,0.8744,0.37214,1.23986,7.67771e-05,7.67771e-05,7.67771e-05
79,4477.22,0.60594,0.4067,1.0367,0.9694,0.9658,0.98606,0.77219,0.87442,0.36083,1.24713,7.35794e-05,7.35794e-05,7.35794e-05
80,4531.95,0.60543,0.41621,1.04509,0.95744,0.96626,0.98513,0.76911,0.89339,0.36564,1.2712,7.03817e-05,7.03817e-05,7.03817e-05
81,4587.49,0.5977,0.41108,1.03312,0.96413,0.96201,0.98063,0.76735,0.89794,0.36585,1.26512,6.7184e-05,6.7184e-05,6.7184e-05
82,4643.58,0.58995,0.39814,1.03397,0.96343,0.97154,0.98328,0.75868,0.90054,0.36016,1.27734,6.39863e-05,6.39863e-05,6.39863e-05
83,4699.58,0.58865,0.42283,1.02097,0.97425,0.976,0.98812,0.77013,0.88851,0.35451,1.26633,6.07886e-05,6.07886e-05,6.07886e-05
84,4755.36,0.58504,0.40732,1.03013,0.96347,0.97373,0.98644,0.77355,0.88552,0.35408,1.26026,5.75909e-05,5.75909e-05,5.75909e-05
85,4810.27,0.58315,0.41296,1.02005,0.97448,0.96729,0.98614,0.77192,0.88784,0.35388,1.25976,5.43932e-05,5.43932e-05,5.43932e-05
86,4865.01,0.56559,0.38804,1.02,0.97992,0.98446,0.9892,0.77677,0.89486,0.34169,1.26938,5.11955e-05,5.11955e-05,5.11955e-05
